Skill ID,Category,Subcategory,Skills,Skill Definition,Skill = Sub Category,Alternate Skill Names,Sl No,Name
Admi_25,Administration,Administrative Support and Clerical Tasks,Mail Forwarding,,FALSE,,25,Admi
Admi_26,Administration,Administrative Support and Clerical Tasks,Mail Processing,,FALSE,,26,Admi
Admi_27,Administration,Administrative Support and Clerical Tasks,Mail Sorting,,FALSE,,27,Admi
Admi_28,Administration,Administrative Support and Clerical Tasks,Mailmerge,,FALSE,,28,Admi
Admi_29,Administration,Administrative Support and Clerical Tasks,Mailroom,,FALSE,,29,Admi
Admi_30,Administration,Administrative Support and Clerical Tasks,Manual Data Entry,,FALSE,,30,Admi
Admi_31,Administration,Administrative Support and Clerical Tasks,Memos,,FALSE,,31,Admi
Admi_32,Administration,Administrative Support and Clerical Tasks,Notetaking,,FALSE,,32,Admi
Admi_33,Administration,Administrative Support and Clerical Tasks,Numeric Data Entry,,FALSE,,33,Admi
Admi_34,Administration,Administrative Support and Clerical Tasks,Office Procedures,,FALSE,,34,Admi
Admi_35,Administration,Administrative Support and Clerical Tasks,Opening Mail,,FALSE,,35,Admi
Admi_36,Administration,Administrative Support and Clerical Tasks,Preliminary Administrative Services Credential,,FALSE,,36,Admi
Admi_37,Administration,Administrative Support and Clerical Tasks,Provider Network Management,,FALSE,,37,Admi
Admi_38,Administration,Administrative Support and Clerical Tasks,Public Disclosure,,FALSE,,38,Admi
Admi_39,Administration,Administrative Support and Clerical Tasks,Registration,,FALSE,,39,Admi
Admi_40,Administration,Administrative Support and Clerical Tasks,Remote Data Entry,,FALSE,,40,Admi
Admi_41,Administration,Administrative Support and Clerical Tasks,Secretarial Experience,,FALSE,,41,Admi
Admi_42,Administration,Administrative Support and Clerical Tasks,Shopping Lists,,FALSE,,42,Admi
Admi_43,Administration,Administrative Support and Clerical Tasks,Shorthand,,FALSE,,43,Admi
Admi_44,Administration,Administrative Support and Clerical Tasks,Snail Mail,,FALSE,,44,Admi
Admi_45,Administration,Administrative Support and Clerical Tasks,Stenography,,FALSE,,45,Admi
Admi_46,Administration,Administrative Support and Clerical Tasks,Switchboard Operator,,FALSE,,46,Admi
Admi_47,Administration,Administrative Support and Clerical Tasks,Taking Meeting Minutes,,FALSE,,47,Admi
Admi_48,Administration,Administrative Support and Clerical Tasks,Touch Typing,,FALSE,,48,Admi
Admi_49,Administration,Administrative Support and Clerical Tasks,Administrative Support and Clerical Tasks,,TRUE,,49,Admi
Admi_50,Administration,Dictation,Audio Transcription,,FALSE,,50,Admi
Admi_51,Administration,Dictation,Certified Electronic Transcriber (CET),,FALSE,,51,Admi
Admi_52,Administration,Dictation,Dictaphone,,FALSE,,52,Admi
Admi_53,Administration,Dictation,Dragon Dictation,,FALSE,,53,Admi
Admi_54,Administration,Dictation,Dragon Naturallyspeaking Systems,,FALSE,,54,Admi
Admi_55,Administration,Dictation,Lucidpress,,FALSE,,55,Admi
Admi_56,Administration,Dictation,Magisto,,FALSE,,56,Admi
Admi_57,Administration,Dictation,Transcribing,,FALSE,,57,Admi
Admi_58,Administration,Dictation,Transcription Pedals,,FALSE,,58,Admi
Admi_59,Administration,Document Management,Abstract Management,,FALSE,,59,Admi
Admi_60,Administration,Document Management,Adobe LiveCycle,,FALSE,,60,Admi
Admi_61,Administration,Document Management,AVEVA PI (Software),,FALSE,,61,Admi
Admi_62,Administration,Document Management,BroadVision QuickSilver (Software),,FALSE,,62,Admi
Admi_63,Administration,Document Management,Certified Document Consultant,,FALSE,,63,Admi
Admi_64,Administration,Document Management,CompTIA Printing and Document Imaging (PDI+),,FALSE,,64,Admi
Admi_65,Administration,Document Management,Content Manager OnDemand (CMOD),,FALSE,,65,Admi
Admi_66,Administration,Document Management,Data Item Descriptions,,FALSE,,66,Admi
Admi_67,Administration,Document Management,DeskSite,,FALSE,,67,Admi
Admi_68,Administration,Document Management,Digital File Management,,FALSE,,68,Admi
Admi_69,Administration,Document Management,Digital Mailroom,,FALSE,,69,Admi
Admi_70,Administration,Document Management,Document Capture Software,,FALSE,,70,Admi
Admi_71,Administration,Document Management,Document Control,,FALSE,,71,Admi
Admi_72,Administration,Document Management,Document Conversion,,FALSE,,72,Admi
Admi_73,Administration,Document Management,Document Imaging,,FALSE,,73,Admi
Admi_74,Administration,Document Management,Document Management Systems,,FALSE,,74,Admi
Admi_75,Administration,Document Management,Document Processing,,FALSE,,75,Admi
Admi_76,Administration,Document Management,Document Production,,FALSE,,76,Admi
Admi_77,Administration,Document Management,Document Retrieval,,FALSE,,77,Admi
Admi_78,Administration,Document Management,Documentation Lifecycle,,FALSE,,78,Admi
Admi_79,Administration,Document Management,Electronic Document Management,,FALSE,,79,Admi
Admi_80,Administration,Document Management,Electronic Document Professional,,FALSE,,80,Admi
Admi_81,Administration,Document Management,Electronic Documents,,FALSE,,81,Admi
Admi_82,Administration,Document Management,Electronic Filing System,,FALSE,,82,Admi
Admi_83,Administration,Document Management,Electronic Indexing,,FALSE,,83,Admi
Admi_84,Administration,Document Management,Electronic Signatures,,FALSE,,84,Admi
Admi_85,Administration,Document Management,Electronic Submission,,FALSE,,85,Admi
Admi_86,Administration,Document Management,Enscript,,FALSE,,86,Admi
Admi_87,Administration,Document Management,Enterprise Document Management System,,FALSE,,87,Admi
Admi_88,Administration,Document Management,Ephesoft,,FALSE,,88,Admi
Admi_89,Administration,Document Management,Equipment Logs,,FALSE,,89,Admi
Admi_90,Administration,Document Management,File Copying,,FALSE,,90,Admi
Admi_91,Administration,Document Management,File Explorer,,FALSE,,91,Admi
Admi_92,Administration,Document Management,File Handling,,FALSE,,92,Admi
Admi_93,Administration,Document Management,File Naming,,FALSE,,93,Admi
Admi_94,Administration,Document Management,Filing,,FALSE,,94,Admi
Admi_95,Administration,Document Management,Google Drive,,FALSE,,95,Admi
Admi_96,Administration,Document Management,HotDocs,,FALSE,,96,Admi
Admi_97,Administration,Document Management,Identity Documents,,FALSE,,97,Admi
Admi_98,Administration,Document Management,ImageNow,,FALSE,,98,Admi
Admi_99,Administration,Document Management,Indexed Sequential Access Method (ISAM),,FALSE,,99,Admi
Admi_100,Administration,Document Management,IT Security Documentation,,FALSE,,100,Admi
Admi_101,Administration,Document Management,Livelink,,FALSE,,101,Admi
Admi_102,Administration,Document Management,Microform,,FALSE,,102,Admi
Admi_103,Administration,Document Management,Microsoft OneDrive,,FALSE,,103,Admi
Admi_104,Administration,Document Management,Muhimbi,,FALSE,,104,Admi
Admi_105,Administration,Document Management,Page Numbering,,FALSE,,105,Admi
Admi_106,Administration,Document Management,PDF Conversion,,FALSE,,106,Admi
Admi_107,Administration,Document Management,PDF Editors,,FALSE,,107,Admi
Admi_108,Administration,Document Management,PDF Generation,,FALSE,,108,Admi
Admi_109,Administration,Document Management,PDF Management Software,,FALSE,,109,Admi
Admi_110,Administration,Document Management,PDF Viewer,,FALSE,,110,Admi
Admi_111,Administration,Document Management,Permanent Resident Cards,,FALSE,,111,Admi
Admi_112,Administration,Document Management,Program Files,,FALSE,,112,Admi
Admi_113,Administration,Document Management,Record Keeping,,FALSE,,113,Admi
Admi_114,Administration,Document Management,Records Management,,FALSE,,114,Admi
Admi_115,Administration,Document Management,Refile,,FALSE,,115,Admi
Admi_116,Administration,Document Management,Subdocuments,,FALSE,,116,Admi
Admi_117,Administration,Document Management,Technical Records,,FALSE,,117,Admi
Admi_118,Administration,Document Management,Title 21 Of The Code Of Federal Regulations,,FALSE,,118,Admi
Admi_119,Administration,Document Management,Treaty of Waitangi,,FALSE,,119,Admi
Admi_120,Administration,Document Management,Virtual Folder,,FALSE,,120,Admi
Admi_121,Administration,Document Management,VoiceXML,,FALSE,,121,Admi
Admi_122,Administration,Document Management,Xerox DocuShare,,FALSE,,122,Admi
Admi_123,Administration,Office and Productivity Equipment and Technology,Adding Machines,,FALSE,,123,Admi
Admi_124,Administration,Office and Productivity Equipment and Technology,Apache OpenOffice,,FALSE,,124,Admi
Admi_125,Administration,Office and Productivity Equipment and Technology,Apple Keynote,,FALSE,,125,Admi
Admi_126,Administration,Office and Productivity Equipment and Technology,Apple Mail,,FALSE,,126,Admi
Admi_127,Administration,Office and Productivity Equipment and Technology,Apple Numbers,,FALSE,,127,Admi
Admi_128,Administration,Office and Productivity Equipment and Technology,Apple Pages,,FALSE,,128,Admi
Admi_129,Administration,Office and Productivity Equipment and Technology,AppleWorks,,FALSE,,129,Admi
Admi_130,Administration,Office and Productivity Equipment and Technology,BBEdit,,FALSE,,130,Admi
Admi_131,Administration,Office and Productivity Equipment and Technology,Camtasia Studio,,FALSE,,131,Admi
Admi_132,Administration,Office and Productivity Equipment and Technology,Communication Software,,FALSE,,132,Admi
Admi_133,Administration,Office and Productivity Equipment and Technology,CompTIA Convergence Technologies Professional (CTP+),,FALSE,,133,Admi
Admi_134,Administration,Office and Productivity Equipment and Technology,CompTIA Digital Home Technology Integrator (DHTI+),,FALSE,,134,Admi
Admi_135,Administration,Office and Productivity Equipment and Technology,CompTIA Home Technology Integrator (HTI+),,FALSE,,135,Admi
Admi_136,Administration,Office and Productivity Equipment and Technology,Corel Ventura,,FALSE,,136,Admi
Admi_137,Administration,Office and Productivity Equipment and Technology,Corel Wordperfect Office,,FALSE,,137,Admi
Admi_138,Administration,Office and Productivity Equipment and Technology,DropBox Sign,,FALSE,,138,Admi
Admi_139,Administration,Office and Productivity Equipment and Technology,Email Software,,FALSE,,139,Admi
Admi_140,Administration,Office and Productivity Equipment and Technology,Evernote,,FALSE,,140,Admi
Admi_141,Administration,Office and Productivity Equipment and Technology,Excel Services,,FALSE,,141,Admi
Admi_142,Administration,Office and Productivity Equipment and Technology,Fax Servers,,FALSE,,142,Admi
Admi_143,Administration,Office and Productivity Equipment and Technology,Foxit Readers,,FALSE,,143,Admi
Admi_144,Administration,Office and Productivity Equipment and Technology,Gmail,,FALSE,,144,Admi
Admi_145,Administration,Office and Productivity Equipment and Technology,Google Contacts,,FALSE,,145,Admi
Admi_146,Administration,Office and Productivity Equipment and Technology,Google Docs,,FALSE,,146,Admi
Admi_147,Administration,Office and Productivity Equipment and Technology,Google Jamboard,,FALSE,,147,Admi
Admi_148,Administration,Office and Productivity Equipment and Technology,Google Sheets,,FALSE,,148,Admi
Admi_149,Administration,Office and Productivity Equipment and Technology,Google Tools,,FALSE,,149,Admi
Admi_150,Administration,Office and Productivity Equipment and Technology,Google Workspace,,FALSE,,150,Admi
Admi_151,Administration,Office and Productivity Equipment and Technology,Harvard Graphics,,FALSE,,151,Admi
Admi_152,Administration,Office and Productivity Equipment and Technology,IBM Lotus Quickr,,FALSE,,152,Admi
Admi_153,Administration,Office and Productivity Equipment and Technology,IBM Lotus Word Pro,,FALSE,,153,Admi
Admi_154,Administration,Office and Productivity Equipment and Technology,IBM Notes,,FALSE,,154,Admi
Admi_155,Administration,Office and Productivity Equipment and Technology,Iostat,,FALSE,,155,Admi
Admi_156,Administration,Office and Productivity Equipment and Technology,IWork,,FALSE,,156,Admi
Admi_157,Administration,Office and Productivity Equipment and Technology,Libreoffice,,FALSE,,157,Admi
Admi_158,Administration,Office and Productivity Equipment and Technology,Lotus 1-2-3,,FALSE,,158,Admi
Admi_159,Administration,Office and Productivity Equipment and Technology,Lotus Smartsuite,,FALSE,,159,Admi
Admi_160,Administration,Office and Productivity Equipment and Technology,Microsoft 365,,FALSE,,160,Admi
Admi_161,Administration,Office and Productivity Equipment and Technology,Microsoft Access,,FALSE,,161,Admi
Admi_162,Administration,Office and Productivity Equipment and Technology,Microsoft Dynamics 365,,FALSE,,162,Admi
Admi_163,Administration,Office and Productivity Equipment and Technology,Microsoft Dynamics 365 Business Central,,FALSE,,163,Admi
Admi_164,Administration,Office and Productivity Equipment and Technology,Microsoft Dynamics 365 for Finance and Operations,,FALSE,,164,Admi
Admi_165,Administration,Office and Productivity Equipment and Technology,Microsoft Excel,,FALSE,,165,Admi
Admi_166,Administration,Office and Productivity Equipment and Technology,Microsoft Forms,,FALSE,,166,Admi
Admi_167,Administration,Office and Productivity Equipment and Technology,Microsoft GroupMe,,FALSE,,167,Admi
Admi_168,Administration,Office and Productivity Equipment and Technology,Microsoft Office,,FALSE,,168,Admi
Admi_169,Administration,Office and Productivity Equipment and Technology,Microsoft Office 365,,FALSE,,169,Admi
Admi_170,Administration,Office and Productivity Equipment and Technology,Microsoft Office Project (MOPS),,FALSE,,170,Admi
Admi_171,Administration,Office and Productivity Equipment and Technology,Microsoft OneNote,,FALSE,,171,Admi
Admi_172,Administration,Office and Productivity Equipment and Technology,Microsoft Online Services,,FALSE,,172,Admi
Admi_173,Administration,Office and Productivity Equipment and Technology,Microsoft Outlook,,FALSE,,173,Admi
Admi_174,Administration,Office and Productivity Equipment and Technology,Microsoft PowerPoint,,FALSE,,174,Admi
Admi_175,Administration,Office and Productivity Equipment and Technology,Microsoft Publisher,,FALSE,,175,Admi
Admi_176,Administration,Office and Productivity Equipment and Technology,Microsoft Teams,,FALSE,,176,Admi
Admi_177,Administration,Office and Productivity Equipment and Technology,Microsoft Visio,,FALSE,,177,Admi
Admi_178,Administration,Office and Productivity Equipment and Technology,Microsoft Word,,FALSE,,178,Admi
Admi_179,Administration,Office and Productivity Equipment and Technology,Multifunction Printer (Office Equipment),,FALSE,,179,Admi
Admi_180,Administration,Office and Productivity Equipment and Technology,Notepad++,,FALSE,,180,Admi
Admi_181,Administration,Office and Productivity Equipment and Technology,Office 365 Administration,,FALSE,,181,Admi
Admi_182,Administration,Office and Productivity Equipment and Technology,Office 365 Exchange Online,,FALSE,,182,Admi
Admi_183,Administration,Office and Productivity Equipment and Technology,Office Online,,FALSE,,183,Admi
Admi_184,Administration,Office and Productivity Equipment and Technology,Office Open XML,,FALSE,,184,Admi
Admi_185,Administration,Office and Productivity Equipment and Technology,One Sheet,,FALSE,,185,Admi
Admi_186,Administration,Office and Productivity Equipment and Technology,Outlook Add-Ins,,FALSE,,186,Admi
Admi_187,Administration,Office and Productivity Equipment and Technology,Outlook Web App (Email Clients),,FALSE,,187,Admi
Admi_188,Administration,Office and Productivity Equipment and Technology,PDF Writer,,FALSE,,188,Admi
Admi_189,Administration,Office and Productivity Equipment and Technology,Productivity Software,,FALSE,,189,Admi
Admi_190,Administration,Office and Productivity Equipment and Technology,Quattro Pro,,FALSE,,190,Admi
Admi_191,Administration,Office and Productivity Equipment and Technology,RightFax,,FALSE,,191,Admi
Admi_192,Administration,Office and Productivity Equipment and Technology,Scientific WorkPlace (Text Editor),,FALSE,,192,Admi
Admi_193,Administration,Office and Productivity Equipment and Technology,Snipping Tool,,FALSE,,193,Admi
Admi_194,Administration,Office and Productivity Equipment and Technology,Spreadsheetgear,,FALSE,,194,Admi
Admi_195,Administration,Office and Productivity Equipment and Technology,Spreadsheets,,FALSE,,195,Admi
Admi_196,Administration,Office and Productivity Equipment and Technology,Taking Messages,,FALSE,,196,Admi
Admi_197,Administration,Office and Productivity Equipment and Technology,Team Explorer,,FALSE,,197,Admi
Admi_198,Administration,Office and Productivity Equipment and Technology,Typewriters,,FALSE,,198,Admi
Admi_199,Administration,Office and Productivity Equipment and Technology,Vtune,,FALSE,,199,Admi
Admi_200,Administration,Office and Productivity Equipment and Technology,Webmail,,FALSE,,200,Admi
Admi_201,Administration,Office and Productivity Equipment and Technology,Xerox Copiers,,FALSE,,201,Admi
Admi_202,Administration,Office and Productivity Equipment and Technology,Zoho Office Suite,,FALSE,,202,Admi
Admi_203,Administration,Office and Productivity Equipment and Technology,Office and Productivity Equipment and Technology,,TRUE,,203,Admi
Admi_204,Administration,Office Management,Certified Administrative Management,,FALSE,,204,Admi
Admi_205,Administration,Office Management,Certified Administrative Professional,,FALSE,,205,Admi
Admi_206,Administration,Office Management,Certified Help Desk Manager,,FALSE,,206,Admi
Admi_207,Administration,Office Management,Certified Medical Office Manager,,FALSE,,207,Admi
Admi_208,Administration,Office Management,Dental Supply Inventory,,FALSE,,208,Admi
Admi_209,Administration,Office Management,Front Office,,FALSE,,209,Admi
Admi_210,Administration,Office Management,Hotelling,,FALSE,,210,Admi
Admi_211,Administration,Office Management,Microsoft Office Specialist Master,,FALSE,,211,Admi
Admi_212,Administration,Office Management,Office Administration,,FALSE,,212,Admi
Admi_213,Administration,Office Management,Office Automation,,FALSE,,213,Admi
Admi_214,Administration,Office Management,Office Management Software,,FALSE,,214,Admi
Admi_215,Administration,Office Management,Office Space Planning,,FALSE,,215,Admi
Admi_216,Administration,Office Management,Office Supply Management,,FALSE,,216,Admi
Admi_217,Administration,Scheduling,Apple Calendar,,FALSE,,217,Admi
Admi_218,Administration,Scheduling,Build Events,,FALSE,,218,Admi
Admi_219,Administration,Scheduling,Build Time,,FALSE,,219,Admi
Admi_220,Administration,Scheduling,Calendar Management,,FALSE,,220,Admi
Admi_221,Administration,Scheduling,Calendaring,,FALSE,,221,Admi
Admi_222,Administration,Scheduling,Calendaring Software,,FALSE,,222,Admi
Admi_223,Administration,Scheduling,Certified Scheduling Technician (CST),,FALSE,,223,Admi
Admi_224,Administration,Scheduling,Crew Scheduling,,FALSE,,224,Admi
Admi_225,Administration,Scheduling,Event Scheduling,,FALSE,,225,Admi
Admi_226,Administration,Scheduling,FullCalendar Premium,,FALSE,,226,Admi
Admi_227,Administration,Scheduling,Google Calendar,,FALSE,,227,Admi
Admi_228,Administration,Scheduling,ICalendar,,FALSE,,228,Admi
Admi_229,Administration,Scheduling,Job Scheduling (Inventory Management),,FALSE,,229,Admi
Admi_230,Administration,Scheduling,Microsoft Calendar,,FALSE,,230,Admi
Admi_231,Administration,Scheduling,Organizing Meetings,,FALSE,,231,Admi
Admi_232,Administration,Scheduling,Planning And Scheduling Professional,,FALSE,,232,Admi
Admi_233,Administration,Scheduling,PMI Scheduling Professional,,FALSE,,233,Admi
Admi_234,Administration,Scheduling,Setting Appointments,,FALSE,,234,Admi
Admi_235,Administration,Scheduling,Shift Work,,FALSE,,235,Admi
Admi_236,Administration,Scheduling,Sign In Enterprise (Software),,FALSE,,236,Admi
Admi_237,Administration,Scheduling,TimeClock Plus,,FALSE,,237,Admi
Admi_238,Administration,Dictation,Dictation,,TRUE,,238,Admi
Admi_239,Administration,Document Management,Document Management,,TRUE,,239,Admi
Admi_240,Administration,Office Management,Office Management,,TRUE,,240,Admi
Admi_241,Administration,Scheduling,Scheduling,,TRUE,,241,Admi
Agri_1,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agribusiness,,FALSE,,1,Agri
Agri_2,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Commodities,,FALSE,,2,Agri
Agri_3,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Equipment,,FALSE,,3,Agri
Agri_4,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Policy,,FALSE,,4,Agri
Agri_5,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Productivity,,FALSE,,5,Agri
Agri_6,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Sales,,FALSE,,6,Agri
Agri_7,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Associates In Rural Development,,FALSE,,7,Agri
Agri_8,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Certified Agricultural Irrigation Specialist,,FALSE,,8,Agri
Agri_9,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Certified Landscape Irrigation Auditor,,FALSE,,9,Agri
Agri_10,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Certified Landscape Irrigation Manager,,FALSE,,10,Agri
Agri_11,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Crop Management,,FALSE,,11,Agri
Agri_12,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Crop Scouting,,FALSE,,12,Agri
Agri_13,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Farm Management,,FALSE,,13,Agri
Agri_14,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Farm Property,,FALSE,,14,Agri
Agri_15,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Greenhouse Management,,FALSE,,15,Agri
Agri_16,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Herbicide Applicator License,,FALSE,,16,Agri
Agri_17,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Heritage Assessment (Land),,FALSE,,17,Agri
Agri_18,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Irrigation Design,,FALSE,,18,Agri
Agri_19,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Irrigation Management,,FALSE,,19,Agri
Agri_20,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Irrigation Technology,,FALSE,,20,Agri
Agri_21,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Landscape Industry Certified,,FALSE,,21,Agri
Agri_22,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Market Garden,,FALSE,,22,Agri
Agri_23,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Mechanised Agriculture,,FALSE,,23,Agri
Agri_24,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Pesticide Safety,,FALSE,,24,Agri
Agri_25,"Agriculture, Horticulture, and Landscaping",Agricultural Management and Operations,Agricultural Management and Operations,,TRUE,,25,Agri
Agri_26,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Chemistry,,FALSE,,26,Agri
Agri_27,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Consumer And Environmental Sciences,,FALSE,,27,Agri
Agri_28,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Economics,,FALSE,,28,Agri
Agri_29,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Education,,FALSE,,29,Agri
Agri_30,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Science,,FALSE,,30,Agri
Agri_31,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agrochemicals,,FALSE,,31,Agri
Agri_32,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agroecology,,FALSE,,32,Agri
Agri_33,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agronomy,,FALSE,,33,Agri
Agri_34,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Biological Pest Controls,,FALSE,,34,Agri
Agri_35,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Certified Professional Agronomist,,FALSE,,35,Agri
Agri_36,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Hydroponics,,FALSE,,36,Agri
Agri_37,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Plant Pathology,,FALSE,,37,Agri
Agri_38,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Precision Agriculture,,FALSE,,38,Agri
Agri_39,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Regenerative Agriculture,,FALSE,,39,Agri
Agri_40,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Biology,,FALSE,,40,Agri
Agri_41,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Fertility,,FALSE,,41,Agri
Agri_42,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Health,,FALSE,,42,Agri
Agri_43,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Soil Sampling,,FALSE,,43,Agri
Agri_44,"Agriculture, Horticulture, and Landscaping",Agricultural Research and Agronomy,Agricultural Research and Agronomy,,TRUE,,44,Agri
Agri_45,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Agricultural Tractors,,FALSE,,45,Agri
Agri_46,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Agriculture,,FALSE,,46,Agri
Agri_47,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Certified Crop Advisor,,FALSE,,47,Agri
Agri_48,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Combine Harvesters,,FALSE,,48,Agri
Agri_49,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Composting,,FALSE,,49,Agri
Agri_50,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Crop Harvesting,,FALSE,,50,Agri
Agri_51,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Crop Planting,,FALSE,,51,Agri
Agri_52,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Crop Production,,FALSE,,52,Agri
Agri_53,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Crop Rotation,,FALSE,,53,Agri
Agri_54,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Drip Irrigation,,FALSE,,54,Agri
Agri_55,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Farm Equipment,,FALSE,,55,Agri
Agri_56,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Farming,,FALSE,,56,Agri
Agri_57,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Fertilizers,,FALSE,,57,Agri
Agri_58,"Agriculture, Horticulture, and Landscaping",Agriculture and Crop Farming,Good Agricultural Practices,,FALSE,,58,Agri
